date,name,iso3166-2,iso3166-1,cases,cumulative_cases
2020-03-12,Greater Accra Region,GH-AA,GH,2,2
2020-03-13,Greater Accra Region,GH-AA,GH,1,3
2020-03-14,Greater Accra Region,GH-AA,GH,2,5
2020-03-17,Greater Accra Region,GH-AA,GH,1,6
2020-03-18,Greater Accra Region,GH-AA,GH,2,8
2020-03-20,Greater Accra Region,GH-AA,GH,5,13
2020-03-21,Greater Accra Region,GH-AA,GH,2,15
2020-03-22,Greater Accra Region,GH-AA,GH,2,17
2020-03-23,Greater Accra Region,GH-AA,GH,3,20
2020-03-24,Greater Accra Region,GH-AA,GH,26,46
2020-03-25,Greater Accra Region,GH-AA,GH,15,61
2020-03-26,Greater Accra Region,GH-AA,GH,64,125
2020-03-27,Greater Accra Region,GH-AA,GH,4,129
2020-03-28,Greater Accra Region,GH-AA,GH,4,133
2020-03-31,Greater Accra Region,GH-AA,GH,9,142
2020-04-01,Greater Accra Region,GH-AA,GH,32,174
2020-04-02,Greater Accra Region,GH-AA,GH,9,183
2020-04-04,Greater Accra Region,GH-AA,GH,6,189
2020-04-06,Greater Accra Region,GH-AA,GH,69,258
2020-04-07,Greater Accra Region,GH-AA,GH,18,276
2020-04-09,Greater Accra Region,GH-AA,GH,24,300
2020-04-10,Greater Accra Region,GH-AA,GH,30,330
2020-04-11,Greater Accra Region,GH-AA,GH,71,401
2020-04-13,Greater Accra Region,GH-AA,GH,57,458
2020-04-14,Greater Accra Region,GH-AA,GH,5,463
2020-04-18,Greater Accra Region,GH-AA,GH,171,634
2020-04-19,Greater Accra Region,GH-AA,GH,197,831
2020-04-22,Greater Accra Region,GH-AA,GH,207,1038
2020-04-25,Greater Accra Region,GH-AA,GH,258,1296
2020-04-27,Greater Accra Region,GH-AA,GH,102,1398
2020-04-28,Greater Accra Region,GH-AA,GH,361,1759
2020-05-01,Greater Accra Region,GH-AA,GH,57,1816
2020-05-06,Greater Accra Region,GH-AA,GH,763,2579
2020-05-08,Greater Accra Region,GH-AA,GH,857,3436
2020-05-09,Greater Accra Region,GH-AA,GH,205,3641
2020-05-11,Greater Accra Region,GH-AA,GH,251,3892
2020-05-12,Greater Accra Region,GH-AA,GH,89,3981
2020-05-13,Greater Accra Region,GH-AA,GH,166,4147
2020-05-14,Greater Accra Region,GH-AA,GH,57,4204
2020-05-15,Greater Accra Region,GH-AA,GH,44,4248
2020-05-16,Greater Accra Region,GH-AA,GH,66,4314
2020-05-19,Greater Accra Region,GH-AA,GH,222,4536
2020-05-20,Greater Accra Region,GH-AA,GH,46,4582
2020-05-21,Greater Accra Region,GH-AA,GH,117,4699
2020-05-22,Greater Accra Region,GH-AA,GH,81,4780
2020-05-23,Greater Accra Region,GH-AA,GH,18,4798
2020-05-25,Greater Accra Region,GH-AA,GH,38,4836
2020-05-26,Greater Accra Region,GH-AA,GH,172,5008
2020-05-27,Greater Accra Region,GH-AA,GH,140,5148
2020-05-29,Greater Accra Region,GH-AA,GH,183,5331
2020-05-30,Greater Accra Region,GH-AA,GH,181,5512
2020-05-31,Greater Accra Region,GH-AA,GH,104,5616
2020-06-02,Greater Accra Region,GH-AA,GH,182,5798
2020-06-03,Greater Accra Region,GH-AA,GH,96,5894
2020-06-04,Greater Accra Region,GH-AA,GH,208,6102
2020-06-05,Greater Accra Region,GH-AA,GH,103,6205
2020-06-06,Greater Accra Region,GH-AA,GH,104,6309
2020-06-08,Greater Accra Region,GH-AA,GH,127,6436
2020-06-09,Greater Accra Region,GH-AA,GH,85,6521
2020-06-10,Greater Accra Region,GH-AA,GH,121,6642
2020-06-11,Greater Accra Region,GH-AA,GH,149,6791
2020-06-12,Greater Accra Region,GH-AA,GH,97,6888
2020-06-13,Greater Accra Region,GH-AA,GH,109,6997
2020-06-14,Greater Accra Region,GH-AA,GH,141,7138
2020-06-15,Greater Accra Region,GH-AA,GH,32,7170
2020-06-16,Greater Accra Region,GH-AA,GH,249,7419
2020-06-17,Greater Accra Region,GH-AA,GH,154,7573
2020-06-18,Greater Accra Region,GH-AA,GH,108,7681
2020-06-20,Greater Accra Region,GH-AA,GH,179,7860
2020-06-21,Greater Accra Region,GH-AA,GH,215,8075
2020-06-22,Greater Accra Region,GH-AA,GH,332,8407
2020-06-23,Greater Accra Region,GH-AA,GH,284,8691
2020-06-24,Greater Accra Region,GH-AA,GH,293,8984
2020-06-25,Greater Accra Region,GH-AA,GH,86,9070
2020-06-26,Greater Accra Region,GH-AA,GH,94,9164
2020-06-27,Greater Accra Region,GH-AA,GH,162,9326
2020-06-28,Greater Accra Region,GH-AA,GH,315,9641
2020-06-29,Greater Accra Region,GH-AA,GH,217,9858
2020-06-30,Greater Accra Region,GH-AA,GH,229,10087
2020-07-01,Greater Accra Region,GH-AA,GH,550,10637
2020-07-02,Greater Accra Region,GH-AA,GH,342,10979
2020-07-03,Greater Accra Region,GH-AA,GH,529,11508
2020-07-04,Greater Accra Region,GH-AA,GH,579,12087
2020-07-05,Greater Accra Region,GH-AA,GH,473,12560
2020-07-06,Greater Accra Region,GH-AA,GH,388,12948
2020-07-07,Greater Accra Region,GH-AA,GH,246,13194
2020-07-08,Greater Accra Region,GH-AA,GH,108,13302
2020-07-09,Greater Accra Region,GH-AA,GH,102,13404
2020-07-10,Greater Accra Region,GH-AA,GH,286,13690
2020-07-11,Greater Accra Region,GH-AA,GH,179,13869
2020-07-15,Greater Accra Region,GH-AA,GH,117,13986
2020-07-16,Greater Accra Region,GH-AA,GH,405,14391
2020-07-17,Greater Accra Region,GH-AA,GH,283,14674
2020-07-18,Greater Accra Region,GH-AA,GH,249,14923
2020-07-19,Greater Accra Region,GH-AA,GH,213,15136
2020-07-20,Greater Accra Region,GH-AA,GH,192,15328
2020-07-21,Greater Accra Region,GH-AA,GH,191,15519
2020-07-22,Greater Accra Region,GH-AA,GH,187,15706
2020-07-23,Greater Accra Region,GH-AA,GH,157,15863
2020-07-24,Greater Accra Region,GH-AA,GH,205,16068
2020-07-25,Greater Accra Region,GH-AA,GH,648,16716
2020-07-26,Greater Accra Region,GH-AA,GH,436,17152
2020-07-27,Greater Accra Region,GH-AA,GH,231,17383
2020-07-28,Greater Accra Region,GH-AA,GH,428,17811
2020-07-29,Greater Accra Region,GH-AA,GH,394,18205
2020-07-30,Greater Accra Region,GH-AA,GH,68,18273
2020-07-31,Greater Accra Region,GH-AA,GH,609,18882
2020-08-01,Greater Accra Region,GH-AA,GH,438,19320
2020-08-02,Greater Accra Region,GH-AA,GH,760,20080
2020-08-03,Greater Accra Region,GH-AA,GH,220,20300
2020-08-04,Greater Accra Region,GH-AA,GH,113,20413
2020-08-09,Greater Accra Region,GH-AA,GH,78,20491
2020-08-10,Greater Accra Region,GH-AA,GH,94,20585
2020-08-11,Greater Accra Region,GH-AA,GH,66,20651
2020-08-12,Greater Accra Region,GH-AA,GH,173,20824
2020-08-13,Greater Accra Region,GH-AA,GH,41,20865
2020-08-14,Greater Accra Region,GH-AA,GH,105,20970
2020-08-15,Greater Accra Region,GH-AA,GH,44,21014
2020-08-16,Greater Accra Region,GH-AA,GH,198,21212
2020-08-18,Greater Accra Region,GH-AA,GH,157,21369
2020-08-19,Greater Accra Region,GH-AA,GH,76,21445
2020-08-20,Greater Accra Region,GH-AA,GH,76,21521
2020-08-21,Greater Accra Region,GH-AA,GH,46,21567
2020-08-22,Greater Accra Region,GH-AA,GH,57,21624
2020-08-24,Greater Accra Region,GH-AA,GH,60,21684
2020-08-25,Greater Accra Region,GH-AA,GH,43,21727
2020-08-26,Greater Accra Region,GH-AA,GH,67,21794
2020-08-27,Greater Accra Region,GH-AA,GH,83,21877
2020-08-28,Greater Accra Region,GH-AA,GH,65,21942
2020-08-29,Greater Accra Region,GH-AA,GH,42,21984
2020-08-31,Greater Accra Region,GH-AA,GH,73,22057
2020-09-01,Greater Accra Region,GH-AA,GH,133,22190
2020-09-02,Greater Accra Region,GH-AA,GH,153,22343
2020-09-03,Greater Accra Region,GH-AA,GH,20,22363
2020-09-04,Greater Accra Region,GH-AA,GH,52,22415
2020-09-05,Greater Accra Region,GH-AA,GH,137,22552
2020-09-06,Greater Accra Region,GH-AA,GH,261,22813
2020-09-07,Greater Accra Region,GH-AA,GH,72,22885
2020-09-08,Greater Accra Region,GH-AA,GH,36,22921
2020-09-09,Greater Accra Region,GH-AA,GH,147,23068
2020-09-10,Greater Accra Region,GH-AA,GH,49,23117
2020-09-11,Greater Accra Region,GH-AA,GH,34,23151
2020-09-18,Greater Accra Region,GH-AA,GH,119,23270
2020-09-19,Greater Accra Region,GH-AA,GH,17,23287
2020-09-20,Greater Accra Region,GH-AA,GH,98,23385
2020-09-21,Greater Accra Region,GH-AA,GH,38,23423
2020-09-22,Greater Accra Region,GH-AA,GH,46,23469
2020-09-23,Greater Accra Region,GH-AA,GH,34,23503
2020-09-24,Greater Accra Region,GH-AA,GH,67,23570
2020-09-25,Greater Accra Region,GH-AA,GH,145,23715
2020-09-28,Greater Accra Region,GH-AA,GH,70,23785
2020-09-30,Greater Accra Region,GH-AA,GH,169,23954
2020-10-02,Greater Accra Region,GH-AA,GH,90,24044
2020-10-03,Greater Accra Region,GH-AA,GH,27,24071
2020-10-04,Greater Accra Region,GH-AA,GH,23,24094
2020-10-05,Greater Accra Region,GH-AA,GH,89,24183
2020-10-06,Greater Accra Region,GH-AA,GH,27,24210
