date,name,iso3166-2,iso3166-1,cases,cumulative_cases
date,Greater Accra Region,GH-AA,GH,2,2
date,Greater Accra Region,GH-AA,GH,1,3
date,Greater Accra Region,GH-AA,GH,2,5
date,Greater Accra Region,GH-AA,GH,1,6
date,Greater Accra Region,GH-AA,GH,2,8
date,Greater Accra Region,GH-AA,GH,5,13
date,Greater Accra Region,GH-AA,GH,2,15
date,Greater Accra Region,GH-AA,GH,2,17
date,Greater Accra Region,GH-AA,GH,3,20
date,Greater Accra Region,GH-AA,GH,26,46
date,Greater Accra Region,GH-AA,GH,15,61
date,Greater Accra Region,GH-AA,GH,64,125
date,Greater Accra Region,GH-AA,GH,4,129
date,Greater Accra Region,GH-AA,GH,4,133
date,Greater Accra Region,GH-AA,GH,9,142
date,Greater Accra Region,GH-AA,GH,32,174
date,Greater Accra Region,GH-AA,GH,9,183
date,Greater Accra Region,GH-AA,GH,6,189
date,Greater Accra Region,GH-AA,GH,69,258
date,Greater Accra Region,GH-AA,GH,18,276
date,Greater Accra Region,GH-AA,GH,24,300
date,Greater Accra Region,GH-AA,GH,30,330
date,Greater Accra Region,GH-AA,GH,71,401
date,Greater Accra Region,GH-AA,GH,57,458
date,Greater Accra Region,GH-AA,GH,5,463
date,Greater Accra Region,GH-AA,GH,171,634
date,Greater Accra Region,GH-AA,GH,197,831
date,Greater Accra Region,GH-AA,GH,207,1038
date,Greater Accra Region,GH-AA,GH,258,1296
date,Greater Accra Region,GH-AA,GH,102,1398
date,Greater Accra Region,GH-AA,GH,361,1759
date,Greater Accra Region,GH-AA,GH,57,1816
date,Greater Accra Region,GH-AA,GH,763,2579
date,Greater Accra Region,GH-AA,GH,857,3436
date,Greater Accra Region,GH-AA,GH,205,3641
date,Greater Accra Region,GH-AA,GH,251,3892
date,Greater Accra Region,GH-AA,GH,89,3981
date,Greater Accra Region,GH-AA,GH,166,4147
date,Greater Accra Region,GH-AA,GH,57,4204
date,Greater Accra Region,GH-AA,GH,44,4248
date,Greater Accra Region,GH-AA,GH,66,4314
date,Greater Accra Region,GH-AA,GH,222,4536
date,Greater Accra Region,GH-AA,GH,46,4582
date,Greater Accra Region,GH-AA,GH,117,4699
date,Greater Accra Region,GH-AA,GH,81,4780
date,Greater Accra Region,GH-AA,GH,18,4798
date,Greater Accra Region,GH-AA,GH,38,4836
date,Greater Accra Region,GH-AA,GH,172,5008
date,Greater Accra Region,GH-AA,GH,140,5148
date,Greater Accra Region,GH-AA,GH,183,5331
date,Greater Accra Region,GH-AA,GH,181,5512
date,Greater Accra Region,GH-AA,GH,104,5616
date,Greater Accra Region,GH-AA,GH,182,5798
date,Greater Accra Region,GH-AA,GH,96,5894
date,Greater Accra Region,GH-AA,GH,208,6102
date,Greater Accra Region,GH-AA,GH,103,6205
date,Greater Accra Region,GH-AA,GH,104,6309
date,Greater Accra Region,GH-AA,GH,127,6436
date,Greater Accra Region,GH-AA,GH,85,6521
date,Greater Accra Region,GH-AA,GH,121,6642
date,Greater Accra Region,GH-AA,GH,149,6791
date,Greater Accra Region,GH-AA,GH,97,6888
date,Greater Accra Region,GH-AA,GH,109,6997
date,Greater Accra Region,GH-AA,GH,141,7138
date,Greater Accra Region,GH-AA,GH,32,7170
date,Greater Accra Region,GH-AA,GH,249,7419
date,Greater Accra Region,GH-AA,GH,154,7573
date,Greater Accra Region,GH-AA,GH,108,7681
date,Greater Accra Region,GH-AA,GH,179,7860
date,Greater Accra Region,GH-AA,GH,215,8075
date,Greater Accra Region,GH-AA,GH,332,8407
date,Greater Accra Region,GH-AA,GH,284,8691
date,Greater Accra Region,GH-AA,GH,293,8984
date,Greater Accra Region,GH-AA,GH,86,9070
date,Greater Accra Region,GH-AA,GH,94,9164
date,Greater Accra Region,GH-AA,GH,162,9326
date,Greater Accra Region,GH-AA,GH,315,9641
date,Greater Accra Region,GH-AA,GH,217,9858
date,Greater Accra Region,GH-AA,GH,229,10087
date,Greater Accra Region,GH-AA,GH,550,10637
date,Greater Accra Region,GH-AA,GH,342,10979
date,Greater Accra Region,GH-AA,GH,529,11508
date,Greater Accra Region,GH-AA,GH,579,12087
date,Greater Accra Region,GH-AA,GH,473,12560
date,Greater Accra Region,GH-AA,GH,388,12948
date,Greater Accra Region,GH-AA,GH,246,13194
date,Greater Accra Region,GH-AA,GH,108,13302
date,Greater Accra Region,GH-AA,GH,102,13404
date,Greater Accra Region,GH-AA,GH,286,13690
date,Greater Accra Region,GH-AA,GH,179,13869
date,Greater Accra Region,GH-AA,GH,117,13986
date,Greater Accra Region,GH-AA,GH,405,14391
date,Greater Accra Region,GH-AA,GH,283,14674
date,Greater Accra Region,GH-AA,GH,249,14923
date,Greater Accra Region,GH-AA,GH,213,15136
date,Greater Accra Region,GH-AA,GH,192,15328
date,Greater Accra Region,GH-AA,GH,191,15519
date,Greater Accra Region,GH-AA,GH,187,15706
date,Greater Accra Region,GH-AA,GH,157,15863
date,Greater Accra Region,GH-AA,GH,205,16068
date,Greater Accra Region,GH-AA,GH,648,16716
date,Greater Accra Region,GH-AA,GH,436,17152
date,Greater Accra Region,GH-AA,GH,231,17383
