date,cummulative,daily
15/03/2020,6,3
16/03/2020,6,0
17/03/2020,7,1
18/03/2020,7,0
19/03/2020,11,4
20/03/2020,16,5
21/03/2020,19,3
22/03/2020,23,4
23/03/2020,27,4
24/03/2020,53,26
25/03/2020,93,40
26/03/2020,132,39
27/03/2020,137,5
28/03/2020,141,4
29/03/2020,152,11
30/03/2020,152,0
31/03/2020,161,9
01/04/2020,195,34
02/04/2020,204,9
03/04/2020,205,1
04/04/2020,205,0
05/04/2020,214,9
06/04/2020,214,0
07/04/2020,287,73
08/04/2020,313,26
09/04/2020,378,65
10/04/2020,378,0
11/04/2020,408,30
12/04/2020,566,158
13/04/2020,566,0
14/04/2020,636,70
15/04/2020,636,0
16/04/2020,641,5
17/04/2020,641,0
18/04/2020,834,193
19/04/2020,1042,208
20/04/2020,1042,0
21/04/2020,1042,0
22/04/2020,1154,112
23/04/2020,1154,0
24/04/2020,1279,125
25/04/2020,1279,0
26/04/2020,1550,271
27/04/2020,1550,0
28/04/2020,1671,121
29/04/2020,1671,0
30/04/2020,2074,403
01/05/2020,2074,0
02/05/2020,2169,95
03/05/2020,2169,0
04/05/2020,2719,550
05/05/2020,2719,0
06/05/2020,3091,372
07/05/2020,3091,0
08/05/2020,4012,921
09/05/2020,4263,251
10/05/2020,4263,0
11/05/2020,4700,437
12/05/2020,5127,427
13/05/2020,5408,281
14/05/2020,5530,122
15/05/2020,5638,108
16/05/2020,5735,97
17/05/2020,5735,0
18/05/2020,5735,0
19/05/2020,6096,361
20/05/2020,6269,173
21/05/2020,6269,0
22/05/2020,6486,217
23/05/2020,6617,131
24/05/2020,6683,66
25/05/2020,6808,125
26/05/2020,7117,309
27/05/2020,7303,186
28/05/2020,7303,0
29/05/2020,7616,313
30/05/2020,7768,152
31/05/2020,8070,302
01/06/2020,8070,0
02/06/2020,8297,227
03/06/2020,8548,251
04/06/2020,8885,337
05/06/2020,9168,283
06/06/2020,9462,294
07/06/2020,9638,176
08/06/2020,9910,272
09/06/2020,10201,291
10/06/2020,10201,0
11/06/2020,10358,157
12/06/2020,10856,498
13/06/2020,11118,262
14/06/2020,11964,846
15/06/2020,11964,0
16/06/2020,12193,229
17/06/2020,12590,397
